"name","asciiname","latitude","longitude"
"Röttenbach","Rottenbach","49.66429","10.92607"
"Röttenbach","Rottenbach","49.15","11.03333"
"Rottenacker","Rottenacker","48.23485","9.68956"
"Rottach-Egern","Rottach-Egern","47.68966","11.77065"
"Rott","Rott","50.63333","7.51667"
"Rott","Rott","47.9047","10.97292"
"Rötsweiler-Nockenthal","Roetsweiler-Nockenthal","49.71667","7.26667"
"Rothselberg","Rothselberg","49.55","7.6"
"Röthlein","Rothlein","49.98333","10.21667"
"Rothenstein","Rothenstein","50.85","11.6"
"Rothenbuch","Rothenbuch","49.96528","9.39389"
"Rothenberg","Rothenberg","49.49917","8.91917"
"Rothenbach","Rothenbach","50.56417","7.90333"
"Roth","Roth","50.7623","7.70016"
"Roth","Roth","50.26691","7.89634"
"Roth","Roth","49.93333","7.8"
"Roth","Roth","49.24762","11.09111"
"Rötgesbüttel","Rotgesbuttel","52.41667","10.53333"
"Roetgen","Roetgen","50.65","6.2"
"Rotenhain","Rotenhain","50.6","7.88333"
"Rotenburg","Rotenburg","53.11125","9.41082"
"Rot an der Rot","Rot an der Rot","48.01295","10.03026"
"Rot am See","Rot am See","49.25","10.01667"
"Rostock","Rostock","54.0887","12.14049"
"Roßhaupten","Rosshaupten","47.65","10.71667"
"Roßdorf","Rossdorf","50.7","10.21667"
"Roßdorf","Rossdorf","49.85972","8.76167"
"Roßbach","Rossbach","50.60506","7.68182"
"Roßbach","Rossbach",50575,"7.41611"
"Roßbach","Rossbach","48.6","12.93333"
"Roskow","Roskow","52.47237","12.71886"
"Rositz","Rositz","51.01728","12.36354"
"Rosenkopf","Rosenkopf","49.35","7.43333"
"Rosenheim","Rosenheim","47.85637","12.12247"
"Rosendorf","Rosendorf","50.76667","11.78333"
"Rosenberg","Rosenberg","49.45583","9.47306"
"Rosenberg","Rosenberg","49.01892","10.0296"
"Roseburg","Roseburg","53.52998","10.62643"
"Rosdorf","Rosdorf","53.97802","9.72739"
"Rosdorf","Rosdorf","51.5","9.9"
"Roscheid","Roscheid","50.11667","6.18333"
"Rosche","Rosche","52.98663","10.75184"
"Roschbach","Roschbach","49.24611","8.11889"
"Rosa","Rosa",50712,"10.24999"
"Rorodt","Rorodt","49.76667","7.05"
"Ronshausen","Ronshausen","50.95","9.85"
"Rondeshagen","Rondeshagen","53.75","10.63333"
"Römstedt","Romstedt","53.1","10.65"
"Römnitz","Romnitz","53.71667","10.76667"
"Rommerskirchen","Rommerskirchen","51.03333","6.68333"
"Rommersheim","Rommersheim","50.2","6.45"
"Rollshausen","Rollshausen","51.56667","10.21667"
"Röllbach","Rollbach","49.77306","9.24611"
"Roklum","Roklum","52.06663","10.74085"
"Roigheim","Roigheim","49.36472","9.34"
"Röhrnbach","Roehrnbach","48.73859","13.52271"
"Röhrmoos","Rohrmoos","48.32966","11.44672"
"Röhrig","Rohrig","51.33333","10.03333"
"Rohrenfels","Rohrenfels","48.68654","11.15619"
"Rohrdorf","Rohrdorf","48.56667","8.7"
"Rohrdorf","Rohrdorf","47.79713","12.1701"
"Rohrberg","Rohrberg","52.70753","11.04092"
"Rohrberg","Rohrberg","51.41667","10.01667"
"Rohrbach","Rohrbach","51.06667","11.4"
"Rohrbach","Rohrbach","50.6","11.21667"
"Rohrbach","Rohrbach","49.88333","7.41667"
"Rohrbach","Rohrbach","49.58333","7.26667"
"Rohrbach","Rohrbach","49.13667","8.12861"
"Rohrbach","Rohrbach","48.61667","11.56667"
"Rohr","Rohr","50.57644","10.49725"
"Rohr","Rohr","49.34112","10.88981"
"Röhl","Rohl","49.93333","6.58333"
"Rögling","Rogling","48.85","10.95"
"Roggenburg","Roggenburg","48.27588","10.23136"
"Rogätz","Rogatz","52.31667","11.76667"
"Röfingen","Rofingen","48.42442","10.44268"
"Roes","Roes","50.24281","7.25836"
"Rödinghausen","Rodinghausen","52.25","8.48333"
"Rodershausen","Rodershausen","49.98333","6.2"
"Rödern","Rodern","49.95","7.45"
"Rodenbek","Rodenbek","54.28333","10.01667"
"Rodenbach","Rodenbach","50.15","9.03333"
"Rodenbach","Rodenbach","49.47281","7.65792"
"Rodenäs","Rodenas","54.88333","8.7"
"Roden","Roden","49.89556","9.62639"
"Rödelsee","Rodelsee","49.7284","10.2436"
"Rödelmaier","Roedelmaier","50.31981","10.27703"
"Rödelhausen","Rodelhausen",50,"7.33333"
"Rockstedt","Rockstedt","51.28506","10.76184"
"Röckingen","Roeckingen","49.05537","10.55951"
"Rockhausen","Rockhausen","50.90152","11.04079"
"Rockeskyll","Rockeskyll","50.25","6.7"
"Rockenberg","Rockenberg","50.4305","8.73688"
"Rochau","Rochau","52.70707","11.74464"
"Riveris","Riveris","49.71667","6.76667"
"Rivenich","Rivenich","49.87578","6.84517"
"Ritzerau","Ritzerau","53.66667","10.56667"
"Rittersheim","Rittersheim","49.66472","8.05833"
"Rittersdorf","Rittersdorf","50.81667","11.23333"
"Rittersdorf","Rittersdorf",50,"6.5"
"Ritterhude","Ritterhude","53.18289","8.7355"
"Ritschenhausen","Ritschenhausen","50.51018","10.43233"
"Rippershausen","Rippershausen","50.6","10.35"
"Riol","Riol","49.79301","6.79211"
"Rinzenberg","Rinzenberg","49.68333","7.13333"
"Rinnthal","Rinnthal","49.21667","7.91667"
"Ringstedt","Ringstedt","53.56091","8.84871"
"Ringsheim","Ringsheim","48.24765","7.77823"
"Ringsberg","Ringsberg","54.80692","9.5981"
"Ringleben","Ringleben","51.36667","11.21667"
"Ringleben","Ringleben","51.1","10.95"
"Ringelai","Ringelai","48.81336","13.4713"
"Rinchnach","Rinchnach","48.94956","13.20102"
"Rimsting","Rimsting","47.88078","12.33713"
"Rimsberg","Rimsberg","49.65","7.21667"
"Rimbach","Rimbach",49625,"8.76306"
"Rimbach","Rimbach","49.23333","12.88333"
"Rimbach","Rimbach","48.46667","12.65"
"Rietschen","Rietschen","51.4","14.78333"
"Riethnordhausen","Riethnordhausen","51.08333",11
"Riethgen","Riethgen","51.25","11.11667"
"Riesweiler","Riesweiler","49.95898","7.55671"
"Rieste","Rieste","52.48333","8.01667"
"Rieseby","Rieseby","54.5414","9.81689"
"Riepsdorf","Riepsdorf","54.22611","10.97242"
"Rielasingen-Worblingen","Rielasingen-Worblingen","47.73465","8.84013"
"Riekofen","Riekofen","48.91667","12.35"
"Riegsee","Riegsee","47.69867","11.23391"
"Riegenroth","Riegenroth","50.05","7.58333"
"Riegelsberg","Riegelsberg","49.3","6.93333"
"Riedhausen","Riedhausen","47.90935","9.42852"
"Riedering","Riedering","47.83874","12.20778"
"Riederich","Riederich","48.56029","9.26883"
"Rieder","Rieder","51.73333","11.16667"
"Riedenheim","Riedenheim","49.55722","9.97806"
"Rieden","Rieden","50.4","7.18333"
"Rieden","Rieden","47.95","10.65"
"Riedelberg","Riedelberg","49.18333","7.45"
"Riede","Riede","52.96667","8.95"
"Ried","Ried","48.29007","11.0438"
"Rickling","Rickling","54.01667","10.16667"
"Rickert","Rickert","54.33333","9.66667"
"Rickenbach","Rickenbach","47.61895","7.97873"
"Ribbesbüttel","Ribbesbuttel","52.43435","10.50997"
"Rhumspringe","Rhumspringe","51.58333","10.3"
"Rhodt unter Rietburg","Rhodt unter Rietburg","49.26972","8.10778"
"Rhoden","Rhoden","51.47326","9.01111"
"Rheurdt","Rheurdt","51.46667","6.46667"
"Rheinzabern","Rheinzabern","49.11806","8.27806"
"Rheinbrohl","Rheinbrohl","50.5","7.33333"
"Rheinbreitbach","Rheinbreitbach","50.61667","7.23333"
"Rheinböllen","Rheinbollen","50.01127","7.67249"
"Rheden","Rheden","52.05784","9.78714"
"Rhaunen","Rhaunen","49.8638","7.34198"
"Rhade","Rhade","53.32872","9.1135"
"Reutlingen","Reutlingen","48.49144","9.20427"
"Reuth","Reuth","50.46969","11.95939"
"Reuth","Reuth","50.3","6.48333"
"Reut","Reut","48.31667","12.93333"
"Reußenköge","Reussenkoge","54.6023","8.9027"
"Reurieth","Reurieth","50.45","10.65"
"Reudelsterz","Reudelsterz","50.31667","7.15"
"Retzstadt","Retzstadt","49.9125","9.88194"
"Retzow","Retzow","52.62478","12.68552"
"Rettert","Rettert","50.23139","7.93848"
"Rettershain","Rettershain","50.15","7.83333"
"Rettersen","Rettersen","50.7","7.5"
"Retterath","Retterath","50.26667","7.01667"
"Rettenberg","Rettenberg","47.57428","10.29173"
"Rettenbach","Rettenbach","49.06667","12.45"
"Rettenbach","Rettenbach","48.45881","10.35238"
"Rethwisch","Rethwisch","53.86701","9.58574"
"Reppenstedt","Reppenstedt","53.25","10.35"
"Renthendorf","Renthendorf","50.79975","11.84704"
"Renquishausen","Renquishausen","48.08333","8.9"
"Rennau","Rennau","52.29588",10912
"Renkenberge","Renkenberge","52.9","7.38333"
"Rengsdorf","Rengsdorf","50.5","7.5"
"Rendswühren","Rendswuhren","54.08333","10.18333"
"Rendsburg","Rendsburg","54.30663","9.66313"
"Remstädt","Remstaedt","50.97897","10.68781"
"Remse","Remse","50.85","12.56667"
"Remscheid","Remscheid","51.17983","7.1925"
"Remptendorf","Remptendorf","50.53333","11.65"
"Remmels","Remmels","54.11667","9.65"
"Remlingen","Remlingen","52.11367","10.67408"
"Relsberg","Relsberg","49.6","7.66667"
"Rellingen","Rellingen","53.65","9.81667"
"Reitzenhain","Reitzenhain","50.15","7.78333"
"Reitwein","Reitwein","52.50091","14.58169"
"Reit im Winkl","Reit im Winkl","47.67729","12.47086"
"Reiskirchen","Reiskirchen","50.6","8.83333"
"Reischach","Reischach","48.29073","12.7262"
"Reipoltskirchen","Reipoltskirchen","49.63333","7.66667"
"Reipeldingen","Reipeldingen","50.08333","6.18333"
"Reinstorf","Reinstorf","53.23445","10.57323"
"Reinstädt","Reinstadt","50.8093","11.47428"
"Reinsfeld","Reinsfeld","49.68333","6.88333"
"Reinsdorf","Reinsdorf","51.33333","11.26667"
"Reinsdorf","Reinsdorf","50.69775","12.55555"
"Reinsbüttel","Reinsbuettel","54.17881","8.91169"
"Reinsberg","Reinsberg","51.00823","13.36542"
"Reinholterode","Reinholterode","51.4219","10.19428"
"Reimlingen","Reimlingen","48.81667","10.51667"
"Reimerath","Reimerath","50.3","6.96667"
"Reilingen","Reilingen","49.29833","8.56417"
"Reil","Reil","50.01667","7.11667"
"Reifferscheid","Reifferscheid","50.40529","6.88499"
"Reiffelbach","Reiffelbach","49.68333","7.68333"
"Reiff","Reiff","50.1","6.2"
"Reiferscheid","Reiferscheid","50.65","7.55"
"Reifenberg","Reifenberg","49.28283","7.50958"
"Reidenhausen","Reidenhausen","50.05","7.31667"
"Reichweiler","Reichweiler","49.53333","7.28333"
"Reichsthal","Reichsthal","49.6","7.73333"
"Reichmannsdorf","Reichmannsdorf","50.54962","11.25758"
"Reichling","Reichling","47.9228","10.92847"
"Reichertsheim","Reichertsheim","48.2","12.28333"
"Reichertshausen","Reichertshausen","48.46667","11.51667"
"Reichersbeuern","Reichersbeuern","47.76667","11.63333"
"Reichenwalde","Reichenwalde","52.26667",14
"Reichenschwand","Reichenschwand","49.51384","11.37274"
"Reichenberg","Reichenberg","50.15","7.76667"
"Reichenbach-Steegen","Reichenbach-Steegen","49.5","7.55"
"Reichenbach an der Fils","Reichenbach an der Fils","48.71011","9.46429"
"Reichenbach am Heuberg","Reichenbach am Heuberg","48.13333","8.85"
"Reichenbach","Reichenbach","50.86861","11.87801"
"Reichenbach","Reichenbach","50.42427","11.41303"
"Reichenbach","Reichenbach","49.64073","7.28664"
"Reichenbach","Reichenbach","49.18333","12.35"
"Reichartshausen","Reichartshausen",49355,"8.94528"
"Reich","Reich",50,"7.43333"
"Rehweiler","Rehweiler","49.48567","7.44207"
"Rehren","Rehren","52.23333","9.23333"
"Rehm-Flehde-Bargen","Rehm-Flehde-Bargen","54.28333","9.01667"
"Rehlingen","Rehlingen","53.10572","10.22092"
"Rehling","Rehling","48.48333","10.93333"
"Rehhorst","Rehhorst","53.88333","10.46667"
"Rehfelde","Rehfelde","52.53417","13.90884"
"Reher","Reher","54.06667","9.58333"
"Rehe","Rehe","50.63333","8.11667"
"Rehden","Rehden","52.61024","8.48093"
"Rehborn","Rehborn","49.73333","7.68333"
"Rehbach","Rehbach","49.85","7.63333"
"Regnitzlosau","Regnitzlosau","50.3","12.05"
"Regesbostel","Regesbostel","53.38333","9.65"
"Regensburg","Regensburg","49.01513","12.10161"
"Regen","Regen","48.9719","13.12824"
"Reeßum","Reessum","53.13333","9.21667"
"Reesdorf","Reesdorf","54.18333","10.05"
"Rednitzhembach","Rednitzhembach","49.30095","11.07997"
"Recklinghausen","Recklinghausen","51.61379","7.19738"
"Reckershausen","Reckershausen","49.98333","7.4"
"Reckenroth","Reckenroth","50.22972","8.02306"
"Reckendorf","Reckendorf","50.01667","10.83333"
"Recke","Recke","52.36885","7.72116"
"Rechtsupweg","Rechtsupweg","53.53333","7.33333"
"Rechtmehring","Rechtmehring","48.11667","12.16667"
"Rechtenstein","Rechtenstein","48.24077","9.54592"
"Rechtenbach","Rechtenbach","49.98306","9.50833"
"Rechenberg-Bienenmühle","Rechenberg-Bienenmuehle","50.73777","13.53502"
"Rechberghausen","Rechberghausen","48.7308","9.64419"
"Rech","Rech","50.51667","7.03333"
"Rayerschied","Rayerschied","50.01667","7.58333"
"Raversbeuren","Raversbeuren","49.95","7.23333"
"Ravensburg","Ravensburg","47.78198","9.61062"
"Ravengiersburg","Ravengiersburg","49.93333","7.48333"
"Rausdorf","Rausdorf","53.58942","10.33046"
"Rausdorf","Rausdorf","50.85767","11.68864"
"Rauschwitz","Rauschwitz","50.96667","11.8"
"Raumbach","Raumbach","49.71667","7.65"
"Rauen","Rauen","52.33227","14.02797"
"Rauda","Rauda","50.95275","11.94248"
"Raubling","Raubling","47.7905","12.11088"
"Raubach","Raubach","50.57489","7.62496"
"Rätzlingen","Ratzlingen","52.97583","10.67545"
"Ratzert","Ratzert","50.65","7.61667"
"Ratzeburg","Ratzeburg","53.69965","10.77256"
"Rattiszell","Rattiszell","49.02573","12.65924"
"Rattenkirchen","Rattenkirchen","48.24205","12.31507"
"Rattenberg","Rattenberg","49.08612","12.74912"
"Rattelsdorf","Rattelsdorf","50.81667","11.76667"
"Ratshausen","Ratshausen","48.19373","8.7952"
"Rathsweiler","Rathsweiler","49.6","7.46667"
"Rathskirchen","Rathskirchen","49.61667","7.71667"
"Rathmannsdorf","Rathmannsdorf","50.92993","14.14224"
"Rathjensdorf","Rathjensdorf","54.18333","10.43333"
"Rathenow","Rathenow","52.60659","12.33696"
"Ratekau","Ratekau","53.95","10.73333"
"Rastorf","Rastorf","54.2813",10345
"Rastede","Rastede","53.25","8.2"
"Rastdorf","Rastdorf","52.91347","7.70894"
"Rastatt","Rastatt","48.85851","8.20965"
"Rasdorf","Rasdorf","50.71667","9.9"
"Rascheid","Rascheid","49.71667","6.93333"
"Rantzau","Rantzau","54.25","10.51667"
"Rantrum","Rantrum","54.44062","9.12872"
"Ransweiler","Ransweiler","49.66667","7.76667"
"Ranstadt","Ranstadt","50.35739","8.98375"
"Ranschbach","Ranschbach","49.19583","8.02861"
"Rannungen","Rannungen","50.16537","10.20484"
"Rannstedt","Rannstedt","51.08333","11.55"
"Rangsdorf","Rangsdorf","52.29126","13.41946"
"Rangendingen","Rangendingen","48.38168","8.8894"
"Ramsthal","Ramsthal","50.14039","10.06777"
"Ramstedt","Ramstedt","54.4","9.16667"
"Ramsla","Ramsla","51.05","11.28333"
"Ramsen","Ramsen","49.53694","8.01333"
"Rammingen","Rammingen","48.51814","10.17197"
"Rammenau","Rammenau","51.15","14.13333"
"Rammelsbach","Rammelsbach","49.5417","7.44392"
"Ramhusen","Ramhusen","53.95","9.08333"
"Ramerberg","Ramerberg","48.01806","12.14513"
"Ramberg","Ramberg","49.26028","8.00833"
"Ralingen","Ralingen","49.81667","6.5"
"Raitenbuch","Raitenbuch","49.01468","11.12486"
"Raisting","Raisting","47.91667","11.1"
"Rain","Rain","48.90496","12.46871"
"Raesfeld","Raesfeld","51.76667","6.85"
"Radibor","Radibor","51.24481","14.39842"
"Rade","Rade","54.0009","9.74162"
"Raddestorf","Raddestorf","52.45","8.96667"
"Radbruch","Radbruch","53.31667","10.28333"
"Rackwitz","Rackwitz","51.43333","12.38333"
"Racksen","Racksen","50.73333","7.7"
"Räckelwitz","Raeckelwitz","51.2573","14.22422"
"Räbke","Rabke","52.19603","10.8787"
"Rabenholz","Rabenholz","54.71667","9.9"
"Rabel","Rabel","54.7","9.95"
"Raa-Besenbek","Raa-Besenbek","53.74837","9.59454"
"Quirnheim","Quirnheim","49.58444","8.12639"
"Quirnbach","Quirnbach","50.52083","7.79694"
"Quirla","Quirla","50.86667","11.76667"
"Quierschied","Quierschied","49.31667","7.05"
"Quiddelbach","Quiddelbach","50.35","6.93333"
"Quickborn","Quickborn","54.01058","9.20896"
"Quernheim","Quernheim","52.46667","8.4"
"Querenhorst","Querenhorst","52.33333","10.96667"
"Queidersbach","Queidersbach","49.36667","7.63333"
"Quaschwitz","Quaschwitz","50.68333","11.7"
"Quarnstedt","Quarnstedt","53.95485","9.78736"
"Quarnbek","Quarnbek","54.33333","9.98333"
"Putzbrunn","Putzbrunn","48.07579","11.71572"
"Puschwitz","Puschwitz","51.25501","14.30111"
"Puschendorf","Puschendorf","49.52398","10.83192"
"Pürgen","Purgen","48.02472","10.92213"
"Pünderich","Puenderich","50.03997","7.12803"
"Puls","Puls","54.08333","9.51667"
"Pullenreuth","Pullenreuth","49.93333",12
"Puderbach","Puderbach","50.6","7.61667"
"Puchheim","Puchheim","48.15","11.35"
"Püchersreuth","Puchersreuth","49.75","12.23333"
"Prutting","Prutting","47.89321","12.20238"
"Prümzurlay","Prumzurlay","49.86667","6.43333"
"Prötzel","Protzel","52.63723","13.98783"
"Prosselsheim","Prosselsheim","49.86309","10.12666"
"Pronstorf","Pronstorf","53.95","10.46667"
"Pronsfeld","Pronsfeld","50.15977","6.34042"
"Probstzella","Probstzella","50.53333","11.38333"
"Probsteierhagen","Probsteierhagen","54.36153","10.28772"
"Prittriching","Prittriching","48.20074","10.92801"
"Prisdorf","Prisdorf","53.68333","9.75"
"Prinzhöfte","Prinzhofte","52.95","8.56667"
"Prinzenmoor","Prinzenmoor","54.21667","9.45"
"Priestewitz","Priestewitz","51.25","13.51667"
"Priesendorf","Priesendorf","49.9075","10.71183"
"Prezelle","Prezelle","52.96667","11.4"
"Prenzlau","Prenzlau","53.31625","13.86261"
"Prem","Prem","47.68333","10.8"
"Preist","Preist","49.90661","6.63172"
"Preischeid","Preischeid","50.03333","6.15"
"Prebitz","Prebitz","49.83333","11.68333"
"Prath","Prath","50.19583","7.68389"
"Prasdorf","Prasdorf","54.38333","10.3"
"Prackenbach","Prackenbach","49.09543","12.82614"
"Pracht","Pracht","50.76031","7.64871"
"Poyenberg","Poyenberg","54.03333","9.7"
"Poxdorf","Poxdorf","50.96667","11.75"
"Poxdorf","Poxdorf","49.66335","11.07079"
"Pottum","Pottum","50.6",8
"Pottiga","Pottiga","50.41459","11.74052"
"Potsdam","Potsdam","52.39886","13.06566"
"Postmünster","Postmunster","48.41667","12.9"
"Postfeld","Postfeld","54.21037","10.21278"
"Posterstein","Posterstein","50.86667","12.26667"
"Postau","Postau","48.65","12.33333"
"Pösing","Posing","49.23333","12.55"
"Pöschendorf","Poschendorf","54.0374","9.48845"
"Pörnbach","Pornbach","48.61667","11.46667"
"Pörmitz","Pormitz","50.61667","11.81667"
"Poppenricht","Poppenricht","49.47557","11.79778"
"Poppenhausen","Poppenhausen","50.09999","10.14244"
"Poppenbüll","Poppenbull","54.36088","8.7612"
"Ponitz","Ponitz","50.85762","12.42309"
"Pomster","Pomster","50.35346","6.84277"
"Pommersfelden","Pommersfelden","49.76667","10.81667"
"Pommern","Pommern","50.16667","7.28333"
"Pommerby","Pommerby","54.76667","9.95"
"Pommelsbrunn","Pommelsbrunn","49.50437","11.51101"
"Pölzig","Polzig","50.95","12.2"
"Polsingen","Polsingen","48.92067","10.7115"
"Polling","Polling","48.21667","12.56667"
"Polling","Polling","47.81102","11.13241"
"Pollhagen","Pollhagen","52.38529","9.18813"
"Pollenfeld","Pollenfeld","48.95","11.2"
"Pölitz","Poelitz","53.77303","10.38276"
"Pölich","Polich","49.8","6.85"
"Poing","Poing","48.17004","11.81863"
"Pohnsdorf","Pohnsdorf","54.23955","10.24896"
"Pohle","Pohle","52.26627","9.34404"
"Pöhl","Pohl","50.55","12.18333"
"Pohl","Pohl","50.25","7.86667"
"Poggensee","Poggensee","53.65","10.58333"
"Pogeez","Pogeez","53.75115","10.72875"
"Podelzig","Podelzig","52.47175","14.53465"
"Pöcking","Pocking","47.96667","11.3"
"Pockau","Pockau","50.7","13.23333"
"Pluwig","Pluwig","49.68976","6.71239"
"Plütscheid","Plutscheid","50.08333","6.41667"
"Plüderhausen","Pluderhausen","48.79875","9.59587"
"Plötzkau","Plotzkau","51.75","11.68333"
"Plothen","Plothen","50.63333","11.76667"
"Plön","Ploen","54.16241","10.42333"
"Pliezhausen","Pliezhausen","48.55934","9.20749"
"Pliening","Pliening","48.19556","11.80069"
"Plessa","Plessa","51.46667","13.61667"
"Pleizenhausen","Pleizenhausen","50.01667","7.56667"
"Pleitersheim","Pleitersheim","49.83333","7.95"
"Pleisweiler-Oberhofen","Pleisweiler-Oberhofen","49.11806","8.00778"
"Pleiskirchen","Pleiskirchen","48.30713","12.59832"
"Plein","Plein","50.03333","6.86667"
"Pleidelsheim","Pleidelsheim","48.9592","9.20311"
"Pleckhausen","Pleckhausen","50.59506","7.54216"
"Plauen","Plauen","50.4973","12.13782"
"Plattenburg","Plattenburg","52.95919","12.02951"
"Platten","Platten","49.95161","6.95313"
"Plascheid","Plascheid","50.03333","6.28333"
"Plankstadt","Plankstadt","49.39444","8.59611"
"Plankenfels","Plankenfels","49.88333","11.33333"
"Planegg","Planegg","48.10672","11.42483"
"Plaidt","Plaidt","50.3926","7.39251"
"Pittenhart","Pittenhart","47.97724","12.38997"
"Pittenbach","Pittenbach","50.18333","6.35"
"Pirow","Pirow","53.21667","11.9"
"Pirna","Pirna","50.95843","13.93702"
"Pirmasens","Pirmasens","49.20145","7.60529"
"Pirk","Pirk","49.63333","12.16667"
"Pinzberg","Pinzberg","49.68971","11.10207"
"Pintesfeld","Pintesfeld","50.11667","6.36667"
"Pinnow","Pinnow","53.06195","14.08559"
"Pinneberg","Pinneberg","53.66732","9.78936"
"Pilsach","Pilsach","49.32137","11.50311"
"Pillig","Pillig","50.23919","7.31157"
"Piesport","Piesport","49.8864","6.91649"
"Piesau","Piesau","50.51667","11.21667"
"Pielenhofen","Pielenhofen","49.07235","11.95699"
"Piding","Piding","47.76667","12.91667"
"Philippsheim","Philippsheim","49.95","6.63333"
"Philippsreut","Philippsreut","48.86667","13.68333"
"Pfronten","Pfronten","47.5822","10.54962"
"Pfronstetten","Pfronstetten","48.27641","9.35995"
"Pforzheim","Pforzheim","48.88436","8.69892"
"Pforzen","Pforzen","47.92997","10.61357"
"Pfofeld","Pfofeld","49.1059","10.83664"
"Pfiffelbach","Pfiffelbach","51.06098","11.44217"
"Pferdingsleben","Pferdingsleben","50.96667","10.81667"
"Pfeffelbach","Pfeffelbach","49.53948","7.32768"
"Pfedelbach","Pfedelbach","49.17806",9505
"Pfatter","Pfatter","48.96309","12.38254"
"Pfarrweisach","Pfarrweisach","50.15","10.73333"
"Pfarrkirchen","Pfarrkirchen","48.43205","12.93812"
"Pfalzgrafenweiler","Pfalzgrafenweiler","48.5265","8.56582"
"Pfalzfeld","Pfalzfeld","50.11232","7.57855"
"Pfakofen","Pfakofen","48.85822","12.22744"
"Pfaffschwende","Pfaffschwende","51.25","10.1"
"Pfaffroda","Pfaffroda","50.7","13.35"
"Pfaffing","Pfaffing","48.05456","12.10917"
"Pfaffenweiler","Pfaffenweiler","47.93333","7.75"
"Pfaffen-Schwabenheim","Pfaffen-Schwabenheim","49.85","7.95"
"Pfaffenhofen an der Ilm","Pfaffenhofen an der Ilm","48.53053",11505
"Pfaffenhofen","Pfaffenhofen","49.06444","8.97639"
"Peuschen","Peuschen","50.65893","11.64482"
"Pettstadt","Pettstadt","49.82996","10.92839"
"Petting","Petting","47.91232","12.81512"
"Pettendorf","Pettendorf","49.06065","12.0078"
"Petriroda","Petriroda","50.86667","10.7"
"Peterslahr","Peterslahr","50.61326","7.48262"
"Petershausen","Petershausen","48.40967","11.47056"
"Petersdorf","Petersdorf","48.51667","11.03333"
"Petersberg","Petersberg","51.59651","11.9533"
"Petersberg","Petersberg","50.98333","11.83333"
"Petersberg","Petersberg","49.23333","7.56667"
"Petersaurach","Petersaurach","49.3","10.75"
"Pessin","Pessin","52.64244","12.66681"
"Perscheid","Perscheid","50.06667","7.7"
"Perleberg","Perleberg","53.07583","11.85739"
"Perl","Perl","49.47169","6.38134"
"Perkam","Perkam","48.85528","12.43979"
"Perasdorf","Perasdorf","48.95","12.8"
"Perach","Perach","48.26667","12.76667"
"Penzing","Penzing","48.07481","10.92745"
"Pentling","Pentling","48.98343","12.0587"
"Pennigsehl","Pennigsehl","52.64181","9.0263"
"Pennewitz","Pennewitz","50.65924","11.05382"
"Pemfling","Pemfling","49.26667","12.61667"
"Pelm","Pelm","50.23188","6.69076"
"Pellworm","Pellworm","54.5161","8.64512"
"Pellingen","Pellingen","49.67552","6.67085"
"Peissen","Peissen","54.02612","9.60825"
"Peine","Peine","52.31928","10.2352"
"Pegestorf","Pegestorf","51.92775","9.49682"
"Peffingen","Peffingen","49.9","6.4"
"Pechbrunn","Pechbrunn","49.96667","12.16667"
"Päwesin","Pawesin","52.51667","12.71667"
"Paunzhausen","Paunzhausen","48.47486","11.56463"
"Paulinenaue","Paulinenaue","52.67701","12.71067"
"Patersdorf","Patersdorf","49.01667","12.98333"
"Patersberg","Patersberg","50.15","7.73333"
"Pastetten","Pastetten","48.19911","11.94368"
"Passow","Passow","53.14286","14.11417"
"Passau","Passau","48.5665","13.43122"
"Passade","Passade","54.36667","10.31667"
"Paska","Paska","50.61985","11.62903"
"Paschel","Paschel","49.63333","6.68333"
"Partenstein","Partenstein","50.04176","9.51991"
"Partenheim","Partenheim","49.88389","8.08222"
"Parsau","Parsau","52.53471","10.8902"
"Parkstetten","Parkstetten","48.91667","12.6"
"Parchim","Parchim","53.42631","11.84875"
"Panzweiler","Panzweiler","50.01667","7.3"
"Pantenburg","Pantenburg","50.08333","6.83333"
"Panten","Panten","53.66667","10.61667"
"Panschwitz-Kuckau","Panschwitz-Kuckau","51.23395","14.19791"
"Panker","Panker","54.33333","10.56667"
"Palzem","Palzem","49.56667","6.36667"
"Palling","Palling","48.00204","12.63702"
"Paitzdorf","Paitzdorf","50.85","12.21667"
"Pahlen","Pahlen","54.26667","9.3"
"Pähl","Pahl","47.9","11.18333"
"Padingbüttel","Padingbuettel","53.7","8.53333"
"Paderborn","Paderborn","51.71905","8.75439"
"Padenstedt","Padenstedt","54.05","9.91667"
"Oyten","Oyten","53.05","9.01667"
"Owschlag","Owschlag","54.39336","9.59243"
"Owingen","Owingen","47.80967","9.17173"
"Oeversee","Oeversee","54.7","9.43333"
"Oevenum","Oevenum","54.71024","8.53174"
"Ovelgönne","Ovelgonne","53.34189","8.42179"
"Utscheid","Utscheid",50,"6.35"
"Otzweiler","Otzweiler","49.71667","7.51667"
"Ötzingen","Otzingen","50.5","7.83333"
"Otzing","Otzing","48.76134","12.80877"
"Ottrau","Ottrau","50.80599","9.38575"
"Ottobrunn","Ottobrunn","48.06489","11.66327"
"Otting","Otting","48.8725","10.80018"
"Otterwisch","Otterwisch","51.2","12.61667"
"Ottersweier","Ottersweier","48.67022","8.11323"
"Otterstadt","Otterstadt","49.37222","8.44778"
"Ottersheim","Ottersheim","49.62556","8.10861"
